year,hbr,age_group,sex,diagnosis,number_of_deaths,crude_rate,easr,hb_name
2009,S08000016,45-64 years,All,Cerebrovascular Disease,10,29.57442,30.18122,NHS Borders
2009,S08000016,45-64 years,All,Stroke,5,14.78721,14.97213,NHS Borders
2009,S08000016,45-64 years,All,Subarachnoid Haemorrhage,2,5.914885,6.25708,NHS Borders
2009,S08000016,45-64 years,Male,Cerebrovascular Disease,5,29.9958,31.67158,NHS Borders
2009,S08000016,45-64 years,Male,Stroke,2,11.99832,12.6871,NHS Borders
2009,S08000016,45-64 years,Male,Subarachnoid Haemorrhage,1,5.99916,6.297382,NHS Borders
2009,S08000016,45-64 years,Female,Cerebrovascular Disease,5,29.16472,28.69087,NHS Borders
2009,S08000016,45-64 years,Female,Stroke,3,17.49883,17.25715,NHS Borders
2009,S08000016,45-64 years,Female,Subarachnoid Haemorrhage,1,5.832944,6.216779,NHS Borders
2009,S08000016,65-74 years,All,Cerebrovascular Disease,7,56.04484,54.27706,NHS Borders
2009,S08000016,65-74 years,All,Stroke,4,32.02562,31.18152,NHS Borders
2009,S08000016,65-74 years,All,Subarachnoid Haemorrhage,1,8.006405,7.824359,NHS Borders
2009,S08000016,65-74 years,Male,Cerebrovascular Disease,1,16.86341,16.17195,NHS Borders
2009,S08000016,65-74 years,Male,Stroke,1,16.86341,16.17195,NHS Borders
2009,S08000016,65-74 years,Male,Subarachnoid Haemorrhage,0,0,0,NHS Borders
2009,S08000016,65-74 years,Female,Cerebrovascular Disease,6,91.46341,92.38216,NHS Borders
2009,S08000016,65-74 years,Female,Stroke,3,45.73171,46.19108,NHS Borders
2009,S08000016,65-74 years,Female,Subarachnoid Haemorrhage,1,15.2439,15.64872,NHS Borders
2009,S08000016,under75 years,All,Cerebrovascular Disease,17,16.49845,15.05178,NHS Borders
2009,S08000016,under75 years,All,Stroke,9,8.734472,7.957882,NHS Borders
2009,S08000016,under75 years,All,Subarachnoid Haemorrhage,3,2.911491,2.724927,NHS Borders
2009,S08000016,under75 years,Male,Cerebrovascular Disease,6,11.84787,11.08904,NHS Borders
2009,S08000016,under75 years,Male,Stroke,3,5.923937,5.560589,NHS Borders
2009,S08000016,under75 years,Male,Subarachnoid Haemorrhage,1,1.974646,1.833853,NHS Borders
2009,S08000016,under75 years,Female,Cerebrovascular Disease,11,20.99317,19.01451,NHS Borders
2009,S08000016,under75 years,Female,Stroke,6,11.45082,10.35517,NHS Borders
2009,S08000016,under75 years,Female,Subarachnoid Haemorrhage,2,3.8169400000000002,3.616002,NHS Borders
2009,S08000016,75plus years,All,Cerebrovascular Disease,79,748.8152,817.7072,NHS Borders
2009,S08000016,75plus years,All,Stroke,46,436.019,481.9748,NHS Borders
2009,S08000016,75plus years,All,Subarachnoid Haemorrhage,4,37.91469,31.226,NHS Borders
2009,S08000016,75plus years,Male,Cerebrovascular Disease,26,609.0419,807.2754,NHS Borders
2009,S08000016,75plus years,Male,Stroke,17,398.2197,510.0427,NHS Borders
2009,S08000016,75plus years,Male,Subarachnoid Haemorrhage,1,23.42469,21.86151,NHS Borders
2009,S08000016,75plus years,Female,Cerebrovascular Disease,53,843.8147,828.139,NHS Borders
2009,S08000016,75plus years,Female,Stroke,29,461.7099,453.9069,NHS Borders
2009,S08000016,75plus years,Female,Subarachnoid Haemorrhage,3,47.7631,40.5905,NHS Borders
2009,S08000017,All,All,Cerebrovascular Disease,153,101.2173,95.15838,NHS Dumfries and Galloway
2009,S08000017,All,All,Stroke,97,64.17042,58.75651,NHS Dumfries and Galloway
2009,S08000017,All,All,Subarachnoid Haemorrhage,8,5.292405,4.538127,NHS Dumfries and Galloway
2009,S08000017,All,Male,Cerebrovascular Disease,55,75.15817,85.23665,NHS Dumfries and Galloway
2009,S08000017,All,Male,Stroke,31,42.36188,47.40644,NHS Dumfries and Galloway
2009,S08000017,All,Male,Subarachnoid Haemorrhage,1,1.366512,1.325507,NHS Dumfries and Galloway
2009,S08000017,All,Female,Cerebrovascular Disease,98,125.6716,105.0801,NHS Dumfries and Galloway
2009,S08000017,All,Female,Stroke,66,84.636,70.10657,NHS Dumfries and Galloway
2009,S08000017,All,Female,Subarachnoid Haemorrhage,7,8.976546,7.750747,NHS Dumfries and Galloway
2009,S08000017,0-44 years,All,Cerebrovascular Disease,2,2.706323,2.27049,NHS Dumfries and Galloway
2009,S08000017,0-44 years,All,Stroke,1,1.353162,1.160837,NHS Dumfries and Galloway
2009,S08000017,0-44 years,All,Subarachnoid Haemorrhage,1,1.353162,1.109653,NHS Dumfries and Galloway
2009,S08000017,0-44 years,Male,Cerebrovascular Disease,1,2.723608,2.321674,NHS Dumfries and Galloway
2009,S08000017,0-44 years,Male,Stroke,1,2.723608,2.321674,NHS Dumfries and Galloway
2009,S08000017,0-44 years,Male,Subarachnoid Haemorrhage,0,0,0,NHS Dumfries and Galloway
2009,S08000017,0-44 years,Female,Cerebrovascular Disease,1,2.689256,2.219305,NHS Dumfries and Galloway
2009,S08000017,0-44 years,Female,Stroke,0,0,0,NHS Dumfries and Galloway
2009,S08000017,0-44 years,Female,Subarachnoid Haemorrhage,1,2.689256,2.219305,NHS Dumfries and Galloway
2009,S08000017,45-64 years,All,Cerebrovascular Disease,11,24.45749,24.78216,NHS Dumfries and Galloway
2009,S08000017,45-64 years,All,Stroke,7,15.56386,15.64718,NHS Dumfries and Galloway
2009,S08000017,45-64 years,All,Subarachnoid Haemorrhage,4,8.893632,9.134975,NHS Dumfries and Galloway
2009,S08000017,45-64 years,Male,Cerebrovascular Disease,6,27.30624,28.50095,NHS Dumfries and Galloway
2009,S08000017,45-64 years,Male,Stroke,5,22.7552,23.49904,NHS Dumfries and Galloway
2009,S08000017,45-64 years,Male,Subarachnoid Haemorrhage,1,4.55104,5.001911,NHS Dumfries and Galloway
2009,S08000017,45-64 years,Female,Cerebrovascular Disease,5,21.7363,21.06336,NHS Dumfries and Galloway
2009,S08000017,45-64 years,Female,Stroke,2,8.694518,7.795321,NHS Dumfries and Galloway
2009,S08000017,45-64 years,Female,Subarachnoid Haemorrhage,3,13.04178,13.26804,NHS Dumfries and Galloway
2009,S08000017,65-74 years,All,Cerebrovascular Disease,19,107.5512,107.8321,NHS Dumfries and Galloway
2009,S08000017,65-74 years,All,Stroke,15,84.90886,84.09532,NHS Dumfries and Galloway
2009,S08000017,65-74 years,All,Subarachnoid Haemorrhage,1,5.660591,5.730331,NHS Dumfries and Galloway
2009,S08000017,65-74 years,Male,Cerebrovascular Disease,7,82.15962,82.96416,NHS Dumfries and Galloway
2009,S08000017,65-74 years,Male,Stroke,5,58.68545,58.41193,NHS Dumfries and Galloway
2009,S08000017,65-74 years,Male,Subarachnoid Haemorrhage,0,0,0,NHS Dumfries and Galloway
2009,S08000017,65-74 years,Female,Cerebrovascular Disease,12,131.2049,132.7,NHS Dumfries and Galloway
2009,S08000017,65-74 years,Female,Stroke,10,109.3374,109.7787,NHS Dumfries and Galloway
2009,S08000017,65-74 years,Female,Subarachnoid Haemorrhage,1,10.93374,11.46066,NHS Dumfries and Galloway
2009,S08000017,under75 years,All,Cerebrovascular Disease,32,23.43584,21.00627,NHS Dumfries and Galloway
2009,S08000017,under75 years,All,Stroke,23,16.84451,14.94875,NHS Dumfries and Galloway
2009,S08000017,under75 years,All,Subarachnoid Haemorrhage,6,4.39422,3.979852,NHS Dumfries and Galloway
2009,S08000017,under75 years,Male,Cerebrovascular Disease,14,20.83054,19.25021,NHS Dumfries and Galloway
2009,S08000017,under75 years,Male,Stroke,11,16.36686,14.96066,NHS Dumfries and Galloway
2009,S08000017,under75 years,Male,Subarachnoid Haemorrhage,1,1.487896,1.456601,NHS Dumfries and Galloway
2009,S08000017,under75 years,Female,Cerebrovascular Disease,18,25.96129,22.76233,NHS Dumfries and Galloway
2009,S08000017,under75 years,Female,Stroke,12,17.30753,14.93684,NHS Dumfries and Galloway
2009,S08000017,under75 years,Female,Subarachnoid Haemorrhage,5,7.211469,6.503104,NHS Dumfries and Galloway
2009,S08000017,75plus years,All,Cerebrovascular Disease,121,827.8032,844.9186,NHS Dumfries and Galloway
2009,S08000017,75plus years,All,Stroke,74,506.2598,501.7016,NHS Dumfries and Galloway
2009,S08000017,75plus years,All,Subarachnoid Haemorrhage,2,13.6827,10.1829,NHS Dumfries and Galloway
2009,S08000017,75plus years,Male,Cerebrovascular Disease,41,686.7672,752.4328,NHS Dumfries and Galloway
2009,S08000017,75plus years,Male,Stroke,20,335.0084,375.4693,NHS Dumfries and Galloway
2009,S08000017,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,NHS Dumfries and Galloway
2009,S08000017,75plus years,Female,Cerebrovascular Disease,80,925.1764,937.4044,NHS Dumfries and Galloway
2009,S08000017,75plus years,Female,Stroke,54,624.494,627.9339,NHS Dumfries and Galloway
2009,S08000017,75plus years,Female,Subarachnoid Haemorrhage,2,23.12941,20.36581,NHS Dumfries and Galloway
2009,S08000018,All,All,Cerebrovascular Disease,321,88.81634,108.0523,NHS Fife
2009,S08000018,All,All,Stroke,179,49.52687,56.36584,NHS Fife
2009,S08000018,All,All,Subarachnoid Haemorrhage,10,2.766864,2.69792,NHS Fife
2009,S08000018,All,Male,Cerebrovascular Disease,119,68.15032,108.3488,NHS Fife
2009,S08000018,All,Male,Stroke,59,33.78881,49.10674,NHS Fife
2009,S08000018,All,Male,Subarachnoid Haemorrhage,2,1.145384,1.337626,NHS Fife
2009,S08000018,All,Female,Cerebrovascular Disease,202,108.1336,107.7557,NHS Fife
2009,S08000018,All,Female,Stroke,120,64.23777,63.62494,NHS Fife
2009,S08000018,All,Female,Subarachnoid Haemorrhage,8,4.282518,4.058213,NHS Fife
2009,S08000018,0-44 years,All,Cerebrovascular Disease,2,1.002597,0.970366,NHS Fife
2009,S08000018,0-44 years,All,Stroke,0,0,0,NHS Fife
2009,S08000018,0-44 years,All,Subarachnoid Haemorrhage,2,1.002597,0.970366,NHS Fife
2009,S08000018,0-44 years,Male,Cerebrovascular Disease,0,0,0,NHS Fife
2009,S08000018,0-44 years,Male,Stroke,0,0,0,NHS Fife
2009,S08000018,0-44 years,Male,Subarachnoid Haemorrhage,0,0,0,NHS Fife
2009,S08000018,0-44 years,Female,Cerebrovascular Disease,2,1.988823,1.940733,NHS Fife
2009,S08000018,0-44 years,Female,Stroke,0,0,0,NHS Fife
2009,S08000018,0-44 years,Female,Subarachnoid Haemorrhage,2,1.988823,1.940733,NHS Fife
2009,S08000018,45-64 years,All,Cerebrovascular Disease,13,13.03141,13.25188,NHS Fife
2009,S08000018,45-64 years,All,Stroke,8,8.019327,8.132701,NHS Fife
2009,S08000018,45-64 years,All,Subarachnoid Haemorrhage,3,3.007247,2.934423,NHS Fife
2009,S08000018,45-64 years,Male,Cerebrovascular Disease,5,10.25031,10.60257,NHS Fife
2009,S08000018,45-64 years,Male,Stroke,2,4.100125,4.073722,NHS Fife
2009,S08000018,45-64 years,Male,Subarachnoid Haemorrhage,1,2.050063,2.159331,NHS Fife
2009,S08000018,45-64 years,Female,Cerebrovascular Disease,8,15.69243,15.90119,NHS Fife
2009,S08000018,45-64 years,Female,Stroke,6,11.76932,12.19168,NHS Fife
2009,S08000018,45-64 years,Female,Subarachnoid Haemorrhage,2,3.923107,3.709516,NHS Fife
2009,S08000018,65-74 years,All,Cerebrovascular Disease,39,114.3025,114.9418,NHS Fife
2009,S08000018,65-74 years,All,Stroke,29,84.99414,84.57136,NHS Fife
2009,S08000018,65-74 years,All,Subarachnoid Haemorrhage,2,5.861665,5.524494,NHS Fife
2009,S08000018,65-74 years,Male,Cerebrovascular Disease,16,100.0688,101.9222,NHS Fife
2009,S08000018,65-74 years,Male,Stroke,10,62.543,63.53588,NHS Fife
2009,S08000018,65-74 years,Male,Subarachnoid Haemorrhage,0,0,0,NHS Fife
2009,S08000018,65-74 years,Female,Cerebrovascular Disease,23,126.8546,127.9614,NHS Fife
2009,S08000018,65-74 years,Female,Stroke,19,104.7929,105.6068,NHS Fife
2009,S08000018,65-74 years,Female,Subarachnoid Haemorrhage,2,11.03083,11.04899,NHS Fife
2009,S08000018,under75 years,All,Cerebrovascular Disease,54,16.19866,17.6974,NHS Fife
2009,S08000018,under75 years,All,Stroke,37,11.09908,12.12655,NHS Fife
2009,S08000018,under75 years,All,Subarachnoid Haemorrhage,7,2.099826,2.067793,NHS Fife
2009,S08000018,under75 years,Male,Cerebrovascular Disease,21,12.82928,14.84781,NHS Fife
2009,S08000018,under75 years,Male,Stroke,12,7.33102,8.517367,NHS Fife
2009,S08000018,under75 years,Male,Subarachnoid Haemorrhage,1,0.610918,0.628816,NHS Fife
2009,S08000018,under75 years,Female,Cerebrovascular Disease,33,19.44918,20.54699,NHS Fife
2009,S08000018,under75 years,Female,Stroke,25,14.73422,15.73573,NHS Fife
2009,S08000018,under75 years,Female,Subarachnoid Haemorrhage,6,3.536214,3.50677,NHS Fife
2009,S08000018,75plus years,All,Cerebrovascular Disease,267,951.5663,1021.64,NHS Fife
2009,S08000018,75plus years,All,Stroke,142,506.0765,503.6743,NHS Fife
2009,S08000018,75plus years,All,Subarachnoid Haemorrhage,3,10.69176,9.069199,NHS Fife
2009,S08000018,75plus years,Male,Cerebrovascular Disease,98,896.9431,1053.748,NHS Fife
2009,S08000018,75plus years,Male,Stroke,47,430.1666,459.5104,NHS Fife
2009,S08000018,75plus years,Male,Subarachnoid Haemorrhage,1,9.15248,8.504486,NHS Fife
2009,S08000018,75plus years,Female,Cerebrovascular Disease,169,986.4005,989.5325,NHS Fife
2009,S08000018,75plus years,Female,Stroke,95,554.4855,547.8381,NHS Fife
2009,S08000018,75plus years,Female,Subarachnoid Haemorrhage,2,11.67338,9.633911,NHS Fife
2009,S08000019,All,All,Cerebrovascular Disease,283,96.19634,121.395,NHS Forth Valley
2009,S08000019,All,All,Stroke,149,50.64754,60.62975,NHS Forth Valley
2009,S08000019,All,All,Subarachnoid Haemorrhage,9,3.059247,2.998137,NHS Forth Valley
2009,S08000019,All,Male,Cerebrovascular Disease,87,61.02266,101.5893,NHS Forth Valley
2009,S08000019,All,Male,Stroke,44,30.86203,46.58074,NHS Forth Valley
2009,S08000019,All,Male,Subarachnoid Haemorrhage,2,1.40282,1.410732,NHS Forth Valley
2009,S08000019,All,Female,Cerebrovascular Disease,196,129.2705,141.2007,NHS Forth Valley
2009,S08000019,All,Female,Stroke,105,69.25208,74.67877,NHS Forth Valley
2009,S08000019,All,Female,Subarachnoid Haemorrhage,7,4.616805,4.585542,NHS Forth Valley
2009,S08000019,0-44 years,All,Cerebrovascular Disease,5,2.997189,2.837709,NHS Forth Valley
2009,S08000019,0-44 years,All,Stroke,1,0.599438,0.528324,NHS Forth Valley
2009,S08000019,0-44 years,All,Subarachnoid Haemorrhage,3,1.798313,1.756781,NHS Forth Valley
2009,S08000019,0-44 years,Male,Cerebrovascular Disease,2,2.412603,2.382597,NHS Forth Valley
2009,S08000019,0-44 years,Male,Stroke,0,0,0,NHS Forth Valley
2009,S08000019,0-44 years,Male,Subarachnoid Haemorrhage,1,1.206302,1.277391,NHS Forth Valley
2009,S08000019,0-44 years,Female,Cerebrovascular Disease,3,3.57462,3.29282,NHS Forth Valley
2009,S08000019,0-44 years,Female,Stroke,1,1.19154,1.056648,NHS Forth Valley
2009,S08000019,0-44 years,Female,Subarachnoid Haemorrhage,2,2.38308,2.236172,NHS Forth Valley
2009,S08000019,45-64 years,All,Cerebrovascular Disease,15,18.81444,18.77799,NHS Forth Valley
2009,S08000019,45-64 years,All,Stroke,8,10.03437,10.0256,NHS Forth Valley
2009,S08000019,45-64 years,All,Subarachnoid Haemorrhage,3,3.762888,3.806941,NHS Forth Valley
2009,S08000019,45-64 years,Male,Cerebrovascular Disease,6,15.33194,15.25131,NHS Forth Valley
2009,S08000019,45-64 years,Male,Stroke,4,10.22129,10.03694,NHS Forth Valley
2009,S08000019,45-64 years,Male,Subarachnoid Haemorrhage,1,2.555323,2.72053,NHS Forth Valley
